parameters_m,tokens_b,task,task_label,n,base_acc,hq_acc,gap_acc_pp,base_acc_norm,hq_acc_norm,gap_acc_norm_pp
56,15.729,openbookqa,OpenBookQA,500,0.17,0.178,0.7999999999999979,0.294,0.314,2.0000000000000018
56,15.729,piqa,PIQA,1838,0.6191512513601741,0.6213275299238302,0.21762785636560977,0.6093579978237215,0.6218715995647442,1.2513601741022784
56,15.729,sciq,SciQ,1000,0.746,0.755,0.9000000000000008,0.665,0.692,2.6999999999999913
56,15.729,siqa,SIQA,1954,0.3618219037871034,0.36489252814739,0.30706243602866,0.417093142272262,0.4032753326509724,-1.3817809621289645
56,15.729,winogrande,WinoGrande,1267,0.5153906866614049,0.5201262825572218,0.47355958958169575,0.5027624309392266,0.5059194948697711,0.31570639305444903
56,16.777,arc_challenge,ARC-C,1172,0.203925,0.226962,2.3037,0.237201,0.25,1.2799000000000005
56,16.777,arc_easy,ARC-E,2376,0.5037878787878788,0.5227272727272727,1.8939393939393923,0.4385521885521885,0.4751683501683502,3.6616161616161658
56,16.777,csqa,CSQA,1221,0.25552825552825553,0.2588042588042588,0.32760032760032476,0.2833742833742834,0.2882882882882883,0.4914004914004899
56,16.777,hellaswag,HellaSwag,10042,0.2831109340768771,0.28540131447918743,0.22903804023103325,0.3027285401314479,0.30999800836486757,0.7269468233419674
56,16.777,mmlu,MMLU,14042,0.23016664292835778,0.22902720410197977,-0.11394388263780142,0.23016664292835778,0.22902720410197977,-0.11394388263780142
56,16.777,openbookqa,OpenBookQA,500,0.16,0.186,2.5999999999999996,0.302,0.3,-0.20000000000000018
56,16.777,piqa,PIQA,1838,0.6229597388465724,0.6147986942328618,-0.8161044613710589,0.6202393906420022,0.6175190424374319,-0.2720348204570233
56,16.777,sciq,SciQ,1000,0.746,0.766,2.0000000000000018,0.643,0.699,5.599999999999994
56,16.777,siqa,SIQA,1954,0.3556806550665302,0.3705220061412487,1.4841351074718512,0.4032753326509724,0.40736949846468784,0.4094165813715467
56,16.777,winogrande,WinoGrande,1267,0.5074980268350434,0.5185477505919495,1.104972375690605,0.500394632991318,0.5067087608524072,0.6314127861089203
56,17.826,arc_challenge,ARC-C,1172,0.199659,0.226109,2.645,0.243174,0.253413,1.0238999999999998
56,17.826,arc_easy,ARC-E,2376,0.49663299663299665,0.5168350168350169,2.020202020202022,0.4335016835016835,0.47095959595959597,3.7457912457912466
56,17.826,csqa,CSQA,1221,0.25634725634725636,0.2727272727272727,1.638001638001635,0.2833742833742834,0.29484029484029484,1.146601146601145
56,17.826,hellaswag,HellaSwag,10042,0.28430591515634335,0.28440549691296557,0.009958175662222457,0.30472017526389167,0.3080063732324238,0.3286197968532134
56,17.826,mmlu,MMLU,14042,0.22945449366187154,0.2335137444808432,0.4059250818971655,0.22945449366187154,0.2335137444808432,0.4059250818971655
56,17.826,openbookqa,OpenBookQA,500,0.152,0.178,2.5999999999999996,0.302,0.3,-0.20000000000000018
56,17.826,piqa,PIQA,1838,0.6224156692056583,0.6175190424374319,-0.4896626768226331,0.6213275299238302,0.6202393906420022,-0.10881392818280489
56,17.826,sciq,SciQ,1000,0.746,0.768,2.200000000000002,0.657,0.685,2.8000000000000025
56,17.826,siqa,SIQA,1954,0.3556806550665302,0.3710337768679631,1.5353121801432945,0.40890481064483114,0.4119754350051177,0.30706243602865446
56,17.826,winogrande,WinoGrande,1267,0.5288082083662194,0.5209155485398579,-0.7892659826361559,0.5138121546961326,0.5114443567482242,-0.23677979479084232
56,18.874,arc_challenge,ARC-C,1172,0.207338,0.211604,0.4265999999999992,0.251706,0.248294,-0.34119999999999984
56,18.874,arc_easy,ARC-E,2376,0.5164141414141414,0.5370370370370371,2.0622895622895654,0.44907407407407407,0.48442760942760943,3.535353535353536
56,18.874,csqa,CSQA,1221,0.266994266994267,0.26371826371826373,-0.32760032760032476,0.29484029484029484,0.30384930384930386,0.9009009009009028
56,18.874,hellaswag,HellaSwag,10042,0.284106751643099,0.2855008962358096,0.1394144592710589,0.3042222664807807,0.3104959171479785,0.6273650667197761
56,18.874,mmlu,MMLU,14042,0.22959692351516878,0.2355077624270047,0.5910838911835914,0.22959692351516878,0.2355077624270047,0.5910838911835914
56,18.874,openbookqa,OpenBookQA,500,0.162,0.166,0.40000000000000036,0.306,0.304,-0.20000000000000018
56,18.874,piqa,PIQA,1838,0.6207834602829162,0.6180631120783461,-0.2720348204570122,0.6164309031556039,0.6251360174102285,0.8705114254624613
56,18.874,sciq,SciQ,1000,0.754,0.77,1.6000000000000014,0.676,0.691,1.4999999999999902
56,18.874,siqa,SIQA,1954,0.3602865916069601,0.37154554759467756,1.1258955987717478,0.41299897645854655,0.4150460593654043,0.20470829068577334
56,18.874,winogrande,WinoGrande,1267,0.5288082083662194,0.5130228887134964,-1.5785319652723007,0.5177584846093133,0.4964483030781373,-2.131018153117598
56,19.923,arc_challenge,ARC-C,1172,0.198805,0.227816,2.9010999999999982,0.242321,0.255973,1.3651999999999997
56,19.923,arc_easy,ARC-E,2376,0.5176767676767676,0.5361952861952862,1.85185185185186,0.4541245791245791,0.484006734006734,2.9882154882154897
56,19.923,csqa,CSQA,1221,0.26371826371826373,0.26945126945126946,0.5733005733005725,0.2915642915642916,0.30303030303030304,1.146601146601145
56,19.923,hellaswag,HellaSwag,10042,0.28669587731527585,0.28599880501892055,-0.06970722963552944,0.30760804620593507,0.3149770961959769,0.7369049990041843
56,19.923,mmlu,MMLU,14042,0.2293832787352229,0.23308645492095142,0.37031761857285184,0.2293832787352229,0.23308645492095142,0.37031761857285184
56,19.923,openbookqa,OpenBookQA,500,0.162,0.174,1.1999999999999984,0.306,0.308,0.20000000000000018
